Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,H1 B  8040-000115 ADHESIVE DUNLOP S-758,ADHESIVE DUNLOP S-758,864,LTR,abhitav423,30
2,H1 A  8010-007497 PAINT RFU FIN SYN ENA BR SPR RED OXIDE,PAINT RFU FIN SYN ENA BR/SPR RED OXIDE,1353,LTR,abhitav423,30
3,H1 A  8010-007495 PAINT RFU AIR DRY BR SPR ENA GREEN GRASS,PAINT RFU AIR DRY BR SPR ENA GREEN GRASS,1097,LTR,abhitav423,30
4,H2 4020-000556 ROPE P LENE 3 STRAND H L OG 24MM DIA,ROPE P/LENE 3 STRAND H/L OG 24MM DIA,269,MTR,abhitav423,30
5,F1 5120-002998 SCREW DRIVERS ELECTRICIAN 200 MM,SCREW DRIVERS ELECTRICIAN 200 MM,118,NOS,abhitav423,30
6,F1 5120-000062 SCREWDRIVERS PHILLIPS HEAD 2X100 MM,SCREWDRIVERS PHILLIPS HEAD 2X100 MM,190,NOS,abhitav423,30
7,F1 5120-002997 SCREW DRIVERS ELECTRICIAN 100 MM,SCREW DRIVERS ELECTRICIAN 100 MM,129,NOS,abhitav423,30
8,F1 5120-000058 SCREWDRIVERS NEW PERFECT  75 MM,SCREWDRIVERS NEW PERFECT  75 MM,73,NOS,abhitav423,30
9,F1 8020-000015 1 BRUSHES RETOUCHING SABLE NO 8,BRUSHES RETOUCHING SABLE NO 8,36,NOS,abhitav423,30
10,F1 5120-000061 SCREWDRIVERS PHILLIPS HEAD 1X 75 MM,SCREWDRIVERS PHILLIPS HEAD 1X 75 MM,23,NOS,abhitav423,30
11,F1 5110-000286 BLADE HACK SAW HAND FLEXIBLE COARSE NOMI,BLADE HACK SAW HAND FLEXIBLE COARSE NOMI,10,NOS,abhitav423,30
