Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,CUPBOARD WITH ACCESSORIES ,AS PER SPECIFICATIONS,24,NOS,deepaksingh.gulia@trifed.nic.in,90
2,BILLING CASH COUNTER ,AS PER SPECIFICATIONS,1,set,deepaksingh.gulia@trifed.nic.in,90
3,GLASS FITTINGS,AS PER SPECIFICATIONS,138,sqft,deepaksingh.gulia@trifed.nic.in,90
4,WINDOW GLASS LOCK ,AS PER SPECIFICATIONS,3,NOS,deepaksingh.gulia@trifed.nic.in,90
5,   Faulty Door opning machine ,AS PER SPECIFICATIONS,1,NOS,deepaksingh.gulia@trifed.nic.in,90
6,ROLLER BLINDS,AS PER SPECIFICATIONS,245,sqft,deepaksingh.gulia@trifed.nic.in,90
7,3 WALL FAN,AS PER SPECIFICATIONS,3,NOS,deepaksingh.gulia@trifed.nic.in,90
8,4 FIRE EXTINGUISHER 2kg,AS PER SPECIFICATIONS,4,NOS,deepaksingh.gulia@trifed.nic.in,90
9,CEILING TRACK LIGHT,AS PER SPECIFICATIONS,20,NOS,deepaksingh.gulia@trifed.nic.in,90
10,ELECTRIC FITTING LABOUR REPAIR,AS PER SPECIFICATIONS,1,job,deepaksingh.gulia@trifed.nic.in,90
11,PAINTER WORK ,AS PER SPECIFICATIONS,1,job,deepaksingh.gulia@trifed.nic.in,90
12,MISC EXPENSE,AS PER SPECIFICATIONS,1,job,deepaksingh.gulia@trifed.nic.in,90
13,AC SERVICES INSPECTION,AS PER SPECIFICATIONS,1,job,deepaksingh.gulia@trifed.nic.in,90
14,Inverter battary ,AS PER SPECIFICATIONS,2,NOS,deepaksingh.gulia@trifed.nic.in,90
15,kauch ,AS PER SPECIFICATIONS,1,NOS,deepaksingh.gulia@trifed.nic.in,90
