Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Constructionofshed,construction of shed ,512,sqft,Aag26@38infbde,15
2,Roofingsheet,Roofing sheet Red Colour,18,Nos,Aag26@38infbde,15
3,Pipe,Square Pipe,35,Nos,Aag26@38infbde,15
4,construcitonof aluminiumpartition,Construction of Aluminium Partitions ,540,sqft,Aag26@38infbde,15
5,Aluminumchannel,Aluminium channel,60,Nos,Aag26@38infbde,15
6,Blackglass,Black Glass 5mm ,321,sqft,Aag26@38infbde,15
7,Bakelite,Bakelite,8,Nos,Aag26@38infbde,15
8,Window,Window,4,Nos,Aag26@38infbde,15
9,Gate ,Gate,2,Nos,Aag26@38infbde,15
10,Rubberglazing,Rubber Glazing,250,Mtr,Aag26@38infbde,15
