Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Elect Welding Rod,ORD STORE,5,Kg,buycon1.ina.kohima,30
2,Adhesive SR998,ORD STORE,10,Ltr,buycon1.ina.kohima,30
3,Anabond,ORD STORE,10,Nos,buycon1.ina.kohima,30
4,Fevi Quick,ORD STORE,10,Nos,buycon1.ina.kohima,30
5,M Seal,ORD STORE,10,Nos,buycon1.ina.kohima,30
6,Insulation Tape,ORD STORE,10,Nos,buycon1.ina.kohima,30
7,Araldite,ORD STORE,10,Nos,buycon1.ina.kohima,30
8,Emery Paper,ORD STORE,20,Nos,buycon1.ina.kohima,30
9,Fuel Pipe 19 x 19,ORD STORE,5,Nos,buycon1.ina.kohima,30
10,Fuel Pipe 19 x 17,ORD STORE,5,Nos,buycon1.ina.kohima,30
11,Welding Rod Armed ,ORD STORE,1,Kg,buycon1.ina.kohima,30
12,Plywood 12mm,ORD STORE,1,Nos,buycon1.ina.kohima,30
