Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Cover Assy,Cover Assy,1,Nos,Rajask1987,15
2,Weather  Strip LH,Weather  Strip LH,8,Nos,Rajask1987,15
3,Oil Seal Crank Shaft,Oil Seal Crank Shaft,3,Nos,Rajask1987,15
4,Glass front door LH,Glass front door LH,1,Nos,Rajask1987,15
5,Head light Assy,Head light Assy,1,Nos,Rajask1987,15
6,Drive Pinion,Drive Pinion,1,Nos,Rajask1987,15
7,Window Vehicular glass side window,Window Vehicular glass side window,2,Nos,Rajask1987,15
8,sliding glass,sliding glass,2,Nos,Rajask1987,15
9,Rubber Hose,Rubber Hose,5,Nos,Rajask1987,15
10,Oil Seal,Oil Seal,2,Nos,Rajask1987,15
